slot12,kind,sentence,title,author
12:00,midnight,"how heavy was the midnight of woe which shrouded in blackness the last ray of hope, and filled the future with terror and gloom!",Narrative of the Life of Frederick Douglass,Frederick Douglass
12:00,noon,"You have been with us, too, some years, and can fairly compare the twilight of rights, which your race enjoy at the North, with that “noon of night” under which they labor south of Mason and Dixon’s line.",Narrative of the Life of Frederick Douglass,Frederick Douglass
12:00,midnight,"We were often in the field from the first approach of day till its last lingering ray had left us; and at saving-fodder time, midnight often caught us in the field binding blades.",Narrative of the Life of Frederick Douglass,Frederick Douglass
03:00,oclock,"About three o’clock of that day, I broke down; my strength failed me; I was seized with a violent aching of the head, attended with extreme dizziness; I trembled in every limb.",Narrative of the Life of Frederick Douglass,Frederick Douglass
09:00,oclock,I reached Covey’s about nine o’clock; and just as I was getting over the fence that divided Mrs.,Narrative of the Life of Frederick Douglass,Frederick Douglass
12:00,noon,"Gardner’s ship-yard at midday, where there were a large company of men at work.",Narrative of the Life of Frederick Douglass,Frederick Douglass
07:30,half_past,"I looked round for the Time Traveller, and—“It’s half-past seven now,” said the Medical Man.",The Time Machine,H. G. Wells
04:00,oclock,"I was in my laboratory at four o’clock, and since then … I’ve lived eight days … such days as no human being ever lived before!",The Time Machine,H. G. Wells
10:00,oclock,It was at ten o’clock today that the first of all Time Machines began its career.,The Time Machine,H. G. Wells
03:30,half_past,"A moment before, as it seemed, it had stood at a minute or so past ten; now it was nearly half-past three!",The Time Machine,H. G. Wells
12:00,noon,"The Palace of Green Porcelain “I found the Palace of Green Porcelain, when we approached it about noon, deserted and falling into ruin.",The Time Machine,H. G. Wells
08:00,oclock,"I found the date was indeed today, and looking at the timepiece, saw the hour was almost eight o’clock.",The Time Machine,H. G. Wells
12:45,quarter_to,"“I’m hanged if it isn’t a quarter to one,” said the Journalist.",The Time Machine,H. G. Wells
12:00,noon,"Its physical condition is still largely a mystery, but we know now that even in its equatorial region the midday temperature barely approaches that of our coldest winter.",The War of the Worlds,H. G. Wells
12:00,midnight,"It had occurred towards midnight of the twelfth; and the spectroscope, to which he had at once resorted, indicated a mass of flaming gas, chiefly hydrogen, moving with an enormous velocity towards this earth.",The War of the Worlds,H. G. Wells
12:15,quarter_past,This jet of fire had become invisible about a quarter past twelve.,The War of the Worlds,H. G. Wells
12:00,midnight,"A reddish flash at the edge, the slightest projection of the outline just as the chronometer struck midnight; and at that I told Ogilvy and he took my place.",The War of the Worlds,H. G. Wells
12:00,midnight,"Hundreds of observers saw the flame that night and the night after about midnight, and again the night after; and so for ten nights, a flame each night.",The War of the Worlds,H. G. Wells
