gutenberg_id,title,author
23,Narrative of the Life of Frederick Douglass,Frederick Douglass
32,Herland,Charlotte Perkins Gilman
35,The Time Machine,H. G. Wells
36,The War of the Worlds,H. G. Wells
44,The Song of the Lark,Willa Cather
45,Anne of Green Gables,L. M. Montgomery
76,Adventures of Huckleberry Finn,Mark Twain
84,Frankenstein,Mary Shelley
98,A Tale of Two Cities,Charles Dickens
103,Around the World in Eighty Days,Jules Verne
105,Persuasion,Jane Austen
107,Far from the Madding Crowd,Thomas Hardy
110,Tess of the d'Urbervilles,Thomas Hardy
113,The Secret Garden,Frances Hodgson Burnett
120,Treasure Island,Robert Louis Stevenson
135,Les Miserables,Victor Hugo
144,The Voyage Out,Virginia Woolf
145,Middlemarch,George Eliot
146,A Little Princess,Frances Hodgson Burnett
155,The Moonstone,Wilkie Collins
158,Emma,Jane Austen
160,The Awakening,Kate Chopin
171,Charlotte Temple,Susanna Rowson
174,The Picture of Dorian Gray,Oscar Wilde
203,Uncle Tom's Cabin,Harriet Beecher Stowe
241,Clotelle,William Wells Brown
242,My Antonia,Willa Cather
271,Black Beauty,Anna Sewell
284,The House of Mirth,Edith Wharton
308,Three Men in a Boat,Jerome K. Jerome
345,Dracula,Bram Stoker
394,Cranford,Elizabeth Gaskell
408,The Souls of Black Folk,W. E. B. Du Bois
472,The House Behind the Cedars,Charles W. Chesnutt
479,Little Lord Fauntleroy,Frances Hodgson Burnett
541,The Age of Innocence,Edith Wharton
580,The Pickwick Papers,Charles Dickens
583,The Woman in White,Wilkie Collins
584,Our Nig,Harriet E. Wilson
599,Vanity Fair,William Makepeace Thackeray
730,Oliver Twist,Charles Dickens
766,David Copperfield,Charles Dickens
768,Wuthering Heights,Emily Bronte
863,The Mysterious Affair at Styles,Agatha Christie
967,Nicholas Nickleby,Charles Dickens
969,The Tenant of Wildfell Hall,Anne Bronte
1023,Bleak House,Charles Dickens
1184,The Count of Monte Cristo,Alexandre Dumas
1260,Jane Eyre,Charlotte Bronte
1327,Elizabeth and Her German Garden,Elizabeth von Arnim
1342,Pride and Prejudice,Jane Austen
1399,Anna Karenina,Leo Tolstoy
1400,Great Expectations,Charles Dickens
1424,Castle Rackrent,Maria Edgeworth
1429,The Garden Party,Katherine Mansfield
1661,The Adventures of Sherlock Holmes,Arthur Conan Doyle
2097,The Sign of the Four,Arthur Conan Doyle
2153,Mary Barton,Elizabeth Gaskell
2351,John Halifax Gentleman,Dinah Craik
2376,Up from Slavery,Booker T. Washington
2554,Crime and Punishment,Fyodor Dostoevsky
2600,War and Peace,Leo Tolstoy
2701,Moby Dick,Herman Melville
2787,An Old-Fashioned Girl,Louisa May Alcott
2852,The Hound of the Baskervilles,Arthur Conan Doyle
3268,The Mysteries of Udolpho,Ann Radcliffe
3322,East Lynne,Mrs. Henry Wood
3409,Barchester Towers,Anthony Trollope
3465,Under Two Flags,Ouida
4274,Wives and Daughters,Elizabeth Gaskell
4276,North and South,Elizabeth Gaskell
4300,Ulysses,James Joyce
4517,Ethan Frome,Edith Wharton
6053,Evelina,Fanny Burney
8954,Lady Audley's Secret,Mary Elizabeth Braddon
8994,What Katy Did,Susan Coolidge
10376,American Indian Stories,Zitkala-Sa
11012,The Autobiography of an Ex-Colored Man,James Weldon Johnson
11030,Incidents in the Life of a Slave Girl,Harriet Jacobs
11056,Trial and Triumph,Frances E. W. Harper
11214,The Garies and Their Friends,Frank J. Webb
11228,The Marrow of Tradition,Charles W. Chesnutt
11666,The Conjure Woman,Charles W. Chesnutt
12352,Iola Leroy,Frances E. W. Harper
15265,The Quest of the Silver Fleece,W. E. B. Du Bois
15399,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano
15454,Imperium in Imperio,Sutton E. Griggs
17314,Five Children and It,Edith Nesbit
17854,The Sport of the Gods,Paul Laurence Dunbar
18247,The Last Man,Mary Shelley
19685,The Country of the Pointed Firs,Sarah Orne Jewett
19746,The Colonel's Dream,Charles W. Chesnutt
21829,The Home and the World,Rabindranath Tagore
22448,O Pioneers,Willa Cather
22962,Mansfield Park,Jane Austen
23784,The Story of an African Farm,Olive Schreiner
25171,The Uncalled,Paul Laurence Dunbar
26220,A Girl of the Limberlost,Gene Stratton-Porter
26584,Night and Day,Virginia Woolf
36033,Overshadowed,Sutton E. Griggs
37106,Little Women,Louisa May Alcott
41286,Miss Marjoribanks,Margaret Oliphant
45631,Twelve Years a Slave,Solomon Northup
62940,Mrs. Spring Fragrance,Sui Sin Far
63181,A Japanese Nightingale,Onoto Watanna
64317,The Great Gatsby,F. Scott Fitzgerald
69255,Of One Blood,Pauline E. Hopkins
70087,Winona,Pauline E. Hopkins
76018,Hope Leslie,Catharine Maria Sedgwick
